Team_1,Team_1_number,Team_2,Team_2_number,Winner_team,Winner_team_number,Margin,Ground,Ground_number,Match Date,Scorecard,Match_number,Match_Type
Mum Indians,335978,Supergiants,968721,Supergiants,968721,9 wickets,Mumbai,58324,"Apr 9, 2016",T20,980901,IPL
KKR,335971,Daredevils,335975,KKR,335971,9 wickets,Kolkata,57980,"Apr 10, 2016",T20,980903,IPL
Kings XI,335973,Guj Lions,968725,Guj Lions,968725,5 wickets,Mohali,57991,"Apr 11, 2016",T20,980905,IPL
RCB,335970,Sunrisers,628333,RCB,335970,45 runs,Bengaluru,57897,"Apr 12, 2016",T20,980907,IPL
KKR,335971,Mum Indians,335978,Mum Indians,335978,6 wickets,Kolkata,57980,"Apr 13, 2016",T20,980909,IPL
Guj Lions,968725,Supergiants,968721,Guj Lions,968725,7 wickets,Rajkot,377285,"Apr 14, 2016",T20,980911,IPL
Daredevils,335975,Kings XI,335973,Daredevils,335975,8 wickets,Delhi,58040,"Apr 15, 2016",T20,980913,IPL
Sunrisers,628333,KKR,335971,KKR,335971,8 wickets,Hyderabad (Deccan),58142,"Apr 16, 2016",T20,980915,IPL
Mum Indians,335978,Guj Lions,968725,Guj Lions,968725,3 wickets,Mumbai,58324,"Apr 16, 2016",T20,980917,IPL
Kings XI,335973,Supergiants,968721,Kings XI,335973,6 wickets,Mohali,57991,"Apr 17, 2016",T20,980919,IPL
RCB,335970,Daredevils,335975,Daredevils,335975,7 wickets,Bengaluru,57897,"Apr 17, 2016",T20,980921,IPL
Sunrisers,628333,Mum Indians,335978,Sunrisers,628333,7 wickets,Hyderabad (Deccan),58142,"Apr 18, 2016",T20,980923,IPL
Kings XI,335973,KKR,335971,KKR,335971,6 wickets,Mohali,57991,"Apr 19, 2016",T20,980925,IPL
Mum Indians,335978,RCB,335970,Mum Indians,335978,6 wickets,Mumbai,58324,"Apr 20, 2016",T20,980927,IPL
Guj Lions,968725,Sunrisers,628333,Sunrisers,628333,10 wickets,Rajkot,377285,"Apr 21, 2016",T20,980929,IPL
Supergiants,968721,RCB,335970,RCB,335970,13 runs,Pune,545380,"Apr 22, 2016",T20,980931,IPL
Daredevils,335975,Mum Indians,335978,Daredevils,335975,10 runs,Delhi,58040,"Apr 23, 2016",T20,980933,IPL
